,tweet,label,lat,long
0,"@FactsInYourFace: In Iowa, it's illegal to pretend you're drunk in public. why would someone pretend?! Haha",off-topic,34.042372413438805,-117.71196176333504
1,@Traceybregman RT pls Canadian or not...it's time to lend a hand. Alberta needs our help...donate if you can!  https://t.co/AmXhfOUIqL,on-topic,33.7629277867337,-117.79881017306688
2,You'll never make a mistake quite as large as Florida Georgia Line did when they decided to let Nelly rap in Cruise. Hold fast to that.,off-topic,34.10432232786917,-117.71203233945616
3,AZ Emergency Information Network for up to date info / evacs / how to find loved ones. http://t.co/sZcCi11AhF Our prayers are with you.,on-topic,33.86579562359619,-117.72740665425718
4,"new that he had to. To fail was to die, and take Ben with him. He reached out with the Force, grabbing for anything that",off-topic,34.05032008745795,-117.7899405656184
5,"in the meantime, if we happen to dig up something that'll help Luke...",off-topic,33.84581796881538,-117.53591987797714
6,It would have probably been easier and a lot less work to have stuck with roommates,off-topic,33.752936098604415,-117.73174580769685
7,"Missed last bus out of Hawrelak. Slouching along Groat Road, coulda sworn I saw Kyle Jones, running up Emily Murphy Park Hill. Beast. #itu",off-topic,33.87012572286067,-117.53645253749085
8,@serenaryder Best wishes to you and all that jazz! I love jazz music!,off-topic,33.82588815336526,-117.66540949733974
9,@josepicardo Get the air &amp; TimeCapsule. Solid state drive means they're very quick and so light for travelling. #macaddict,off-topic,34.09804469583599,-117.37083193873414
10,Mirror mirror on the wall who's tge fairest of them all,off-topic,33.72062902105666,-117.64252217894749
11,Residents of #Banff &amp; Lake Louise have their power back. It was out all night after a transformer flooded. A long night for crews. #abflood,on-topic,33.81017578361343,-117.43147206360186
12,If you need a place to stay tonight get in touch. #flooding #calgary #yyc #staysafe @ Riverwalk - East http://t.co/m4M1ux9xFH,on-topic,34.04155405555642,-117.36475529579748
13,@michielinman Again. Whats the over/under on you being back?,off-topic,34.022219117333705,-117.57190188778779
14,"@LaySeeJay we have moved operations to 4804 Edmonton Trail NE. And we need towels, toiletries, food and water.",on-topic,33.77167283481045,-117.42254836937563
15,Catching up on sleep after a sleepless night spent worrying about potential flood evacuation.  #Calgary #yycflood,on-topic,33.89262961674155,-117.23654076134163
16,"I LOVE @TMZ &amp; @TMZLive  but I'm fed up w/the TMZ app on Xbox Live. Cable guy here 2day, new modem, REALLY fast  speed but app NEVER works!",off-topic,34.0017462358271,-117.68745154106058
17,Anyone need a bag or 2 of salsa?,off-topic,34.10796563238913,-117.60645494635021
18,selfie mode... still feeling pretty in my zombie-like face...after my 8-hr graveyard shift then kiddos http://t.co/MuHhjM73yW,off-topic,34.154080089365365,-117.25844905551712
19,Update - State of Local Emergency: The City of Calgary remains in a state of local emergency due to significant... http://t.co/hgyxgPfYIW,on-topic,34.07001873839385,-117.32431067491608
20,"Construction Safety Manager, Calgary AB #job #hiring http://t.co/T4wcorkMXW",off-topic,33.94624691668054,-117.56722161765344
21,by and see if you received my orders yet.,off-topic,33.93788762614553,-117.17607606635006
22,"Jamesons &amp; Rolling Rock with Darren, Tommy #albertaflood (@ Ship &amp; Anchor Pub) http://t.co/SD3ik2ZpHw",on-topic,34.095892860570366,-117.64199690723859
23,@cityofcalgary: Reminder: ALL CBE and Catholic School Board schools closed.Please RT and let the children know. #yyc #yycflood,on-topic,33.97782321579512,-117.77415737832662
24,@kped12: @LizaStinton please RT to help those losing their homes to floods in Alberta redcross.ca #yycflood,on-topic,34.04984378532684,-117.3356146996261
25,I just went for a walk. Ran into a man without power. Scared of losing food. Options? #yycflood,on-topic,34.011303214300334,-117.7405481120921
26,"of shots per Tibanna charge. If there was trouble up there, they could quickly find #themselves at a dangerous firepower",off-topic,33.85889893936988,-117.85923732121674
27,"@EricFrancis Seems harsh to say it like that, but I agree. Kipper sulked for the last couple years.",off-topic,33.75351148776449,-117.24738564786394
28,"Just drove through southern Alberta. All exits to High River blocked by RCMP, and you can see submerged houses and cars from the highway.",on-topic,34.081006137686266,-117.78228454271351
29,Thanks @BellMobility for charging me data for nothing. #hatebell,off-topic,34.16623845894636,-117.93732855301893
30,@FwdMindJen Yes. Relatives and friends with homes there.,off-topic,33.86866991726721,-117.74290655195723
31,First thing I'm doing in my new apartment is... Getting a fucking cat!!,off-topic,33.8890081048762,-117.15793856209027
32,"Journeyman Pipefitters Needed for Shutdowns in Calgary, AB #job #hiring http://t.co/rrklgYHpbe",off-topic,33.7231232792113,-117.79687481001413
33,In the good old days a certified cheque was like cash... You could deposit it no  problem. #ihatebanks #frustrated,off-topic,34.04587254818232,-117.2551012292681
34,"Quick little reminder, please help out people who have lost everything http://t.co/d9eoofN7Ls",on-topic,33.89273300554189,-117.70789322534779
35,I think I've had the same battery in my Sunrise pickup for a decade now.,off-topic,33.69297777956779,-117.73214041228519
36,I'm helping my neighborhood - read about the @InglewoodYYC #yycflood rescue/evacuation on @EllisFun,on-topic,34.0353179134535,-117.340632139631
37,How long until things become normal what kind of question is that? Half the city is under water of course it's going to take a long time.,on-topic,33.82055099609012,-117.26684293200816
38,Party in Miami tonight! The #Heat have done it again. NBA Champions!!!,off-topic,33.990553950302065,-117.87055959937719
39,Eston's own @Therealhda will be inducted into the @PWAwrestlingca Hall Of Fame tonight. Congrats to a true entertainer.,off-topic,33.72983566052118,-117.82040546399429
40,We're not asking you to abandon your duty. Leia shook her head. We're asking you to do it. Just in a different way.,off-topic,33.79302367029016,-117.15847856080958
41,Our city parks workers are cleaning out Sandy Beach. It'll be back to normal in due time. =) #yycflood http://t.co/9Pybx7KH5n,on-topic,34.06189162045842,-117.91448636600023
42,Yet to hear any thing bout the floods our end of the bow other then the dam has all flodd gates open,on-topic,34.03325709719441,-117.2691631527383
43,"See that sexy girl from Ghana, she too fine,One of a kind I can her sexy Nana #Wizkid @wizkidayo #r2bees",off-topic,34.00561197151352,-117.72159968914389
44,"@jeffmeier87 I'm trying to volunteer cuz we're poor but at the same time, it's our like 7th annual lake party that I never miss...",on-topic,34.06283528176546,-117.34136086686065
45,Cool down for #ben and o @ Bench overlooking The Glenmore Resevoir http://t.co/W2jLd0IBE8,off-topic,33.95743925171978,-117.1778883914667
46,The only ships still moving on the screens were the,off-topic,33.899669057528435,-117.2477129770788
47,Down in Stanley Park helping with the flood!! Prayers #yyc @ Stanley Park Outdoor Pool http://t.co/qGyXgDm5DV,on-topic,33.880966025164646,-117.34749715436185
48,Just woke up and I can hear the rain coming down....like really? How bout no. This is enough.,on-topic,34.05768531861418,-117.34477661205263
49,This is the bow at 6am fri. http://t.co/4XsxyXP0WY,off-topic,33.731620976432175,-118.01055521836517
50,Chris seems like a #genuine guy. #bachelorette #goodguy,off-topic,33.797246671509,-117.30767415424181
51,"Internal Auditor and Accountant in Airdrie, AB #oilandgas #job #hiring http://t.co/17wYkSqPgG",off-topic,33.97860151949732,-117.71218461426324
52,"gineering and #the communi #teamfollowback cations center and scope out their security. Five, you're with him-try not to kill anybody.",off-topic,34.15375862575108,-117.45529988334937
53,"@ChaseLandrySWMP Hey, just wondering if y'all can keep Alberta in your prayers, there's been millions evacuated from major flooding.",on-topic,33.69111841007554,-117.6361755612799
54,Let's plan a fundraiser is 24 hours... #yawedid @yycfoodtrucks @ Calgary Farmers' Market http://t.co/qiQR1eceXn,on-topic,34.03484738021095,-117.3689738858316
55,Can everyone on my feed stop being a giant buzzkill? You can all go fuck your own face.,off-topic,33.99125706400288,-117.96778162653429
56,@HuffingtonPost: The gut-wrenchingly tragic outcome of one couple and their struggle to accept their gay son http://t.co/wxOKSvQmvo Aww :(,off-topic,33.890682312278166,-117.66308583332089
57,couldn't imagine that Jira could do it  #teamfollowback without #getting caught.,off-topic,34.13677475756324,-117.38357054348027
58,"Hey, are all #bounty hunters this persistent? Jacen asked.",off-topic,34.0402085539941,-117.16180346328993
59,"Really lucky, saw Herbie Hancock live last nite. Like Mozart with a synth, cool to be in the presence of greatness. Amazing gig...",off-topic,34.09870012700096,-117.82325245720797
60,Nothing like getting a LONG bike ride in b4 heat of day...then getting back seeing how funny u look with ur hair plastered 2 ur face #medhat,off-topic,33.98197061895532,-117.16814550396047
61,Edmonton Remand Centre correctional officer fired: A government spokeswoman says a correctional officer at the... http://t.co/SSCN89Ufyt,off-topic,33.873703132457905,-117.53152556850738
62,How come Chris Rock and The Rock haven't made a buddy-cop movie yet?,off-topic,33.966292626619634,-117.21723659147017
63,"@Peggo36 I'm great thanks, how are you? Haha yeah I am! Coming home in a couple weeks :) what have you been doing with yourself?",off-topic,33.71649469894673,-117.70016684402724
64,@giftbasketrus same to you!  Hope it's this nice at Silver Creek in a few weeks.... Cheers,off-topic,34.1744078414217,-117.46261069401916
65,@herrickc Tell her Thanks! And Love you :),off-topic,33.694393027781,-117.85480582966719
66,"I'm at Land &amp; Sea (Calgary, Alberta) http://t.co/yEXwlAOXrU",off-topic,34.05408492162324,-117.94241244895812
67,Could have my new car today fuck ya,off-topic,34.03454056790665,-117.69681564851652
68,@ctvnews I have exclusive photos of the flood and evacuation from some parts of Banff. If you are interested in purchasing call 4033605001,on-topic,34.05648162413415,-117.33830884277596
69,And they're not the only ones.,off-topic,33.95604346183119,-117.1454998364964
70,"a peaceful assembly in their own Big Circle of Fun did not violate the rules established by their Blaudun masters, it #si",off-topic,33.82205951014225,-117.24330540098576
71,"On Saturday 22, #abflood was Trending Topic in Edmonton for 23 hours: http://t.co/b0llsM3s3B",on-topic,33.90927919890928,-117.9971085774421
72,@ShitNoOneSayss_: Just pre-ordered Soulja Boys new album!@AshleyMoBrown why did i think of you?,off-topic,34.16896714633069,-117.79576981561013
73,Bath time. My legs and feet are killing me.,off-topic,33.88765361427651,-117.2085735418546
74,I always knew Anderson Cooper was a cool guy. Fuck Alex Baldwin and @CapitalOne,off-topic,33.948574149501674,-117.9289311300468
75,@dantencer any leads on a goalie? Miller?,off-topic,34.14264444241615,-117.85063836350363
76,The city keeps saying that they don't need any more food donations like damn Calgary stop being so nice,on-topic,33.90450992133262,-117.78039541598378
77,"@Xtraspyc that's the plan, I believe it will be a drinking night",off-topic,33.960093631852416,-117.55263375429209
78,@ryleawalker In other news Kim and Kanye named their kid NORTH,off-topic,33.994082346920074,-117.24831940349046
79,"ll him. I just wanted to rush over there and take Vader apart, #piece by piece. Despite the troopers that had appeared an",off-topic,33.81183801845129,-117.53514595730456
80,rested on a #large lounge with a repuls #autofollowback orlift motor.,off-topic,34.03641145096486,-117.74361681139037
81,The river along Sifton Road is encroaching on yards. Lower than Mission but running much faster. #yyc #ABflood http://t.co/C49kI8XXDY,on-topic,34.03108965526944,-117.32865665072026
82,lying is honestly the biggest turnoff,off-topic,34.067150144860925,-117.4023791518266
83,For the kingdom of heaven is like a master of a house who went out early in the morning to hire http://t.co/LSrp0vhmLt,off-topic,34.136245718926396,-117.79580232085637
84,"@nenshi @ToriePeterson: When the state of emergency is lifted, I feel like the flame should be lit on the Calgary Tower. #yyc #yycflood",on-topic,34.038052261392835,-117.33268566689668
